addr,location,agency,_X,_Y
서울특별시 강북구 솔샘로47길 21 삼양교회 1층 로비,1층 만나실 식당 안 좌측 벽면,삼양교회,127.0180498,37.62102061
"서울특별시 서초구 효령로72길 60, 한전아트센터 (서초동)",공연장 1층 로비,한전아트센터,127.0280791,37.48560528
"서울특별시 구로구 경인로20가길 38, 3층 (오류동)",오류문화센터 3층 복도,구로문화재단오류문화센터,126.8460352,37.49535761
"서울특별시 관악구 광신길 86(신림동, 신림2단지주공아파트)",1층 관리동,주공2단지,126.9266961,37.46343046
"서울특별시 관악구 난곡로26길 57, 잇는서점 (신림동)",잇는 서점 출입구 옆,관악구청(도시재생과),126.9230089,37.4701646
서울특별시 마포구 서강로 95,105동과 107동 사이 관리동 1층 관리사무소앞,창전삼성아파트,126.9297584,37.55057105
"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",감염구급차 내,고려대학교 구로병원,126.8847007,37.49112255
"서울특별시 강서구 마곡중앙10로 30, LG사이언스파크 (마곡동)",E5/7동 1층,LG화학마곡,126.8329522,37.56203366
서울특별시 중랑구 동일로149길 46,1층 중앙현관 출입구,신묵초등학교,127.0751925,37.60781196
"서울특별시 송파구 올림픽로 300, 롯데백화점 잠실점 에비뉴엘 (신천동)",에비뉴엘 6층,롯데쇼핑(주)롯데백화점잠실점에비뉴엘,127.1027187,37.51250785
"서울특별시 서초구 양재천로 33, 양재도서관 1층 (양재동)",1층 유아열람실 옆,서초구립양재도서관,127.033573,37.47368045
"서울특별시 도봉구 해등로 118(창동, 상아1차아파트)",관리동1층,창동상아1차아파트,127.0416266,37.65395751
"서울특별시 종로구 효자로 12, 국립고궁박물관 별관 국입서울문화재연구소 (세종로)",국립서울문화재연구소 공용복도,국립서울문화재연구소,126.9749747,37.57659175
서울특별시 동대문구 신이문로 16,교무실,서울이문초등학교,127.0644906,37.60234325
서울특별시 동대문구 전농로 168 서울동부교육지원청 (전농동),1층 로비 안내데스크,서울동부교육지원청,127.0564828,37.579723
서울특별시 도봉구 도봉산길 86 도봉분소,도봉산 생태탐방원 정문(입구),북한산국립공원도봉사무소도봉분소,127.0334413,37.68771819
"서울특별시 노원구 노원로16길 15 (하계동, 중계주공9단지아파트)",909동 2라인 1층 승강기 앞,중계주공9단지,127.0743462,37.64238616
"서울특별시 강서구 마곡동로 161, 서울식물원 (마곡동)",식물문화센터 1층 온실 출구,서울식물원,126.8349797,37.57002557
서울특별시 영등포구 당산로 98(당산동1가),안쪽 출입구,한국국토정보공사서울지역본부영등포동작지사,126.8963463,37.52325816
서울특별시 노원구 화랑로 815,제3과학관 1층,삼육대학교,127.1054208,37.6450008
서울특별시 은평구 대서문길 64,안쪽 창가,북한산국립공원산성분소,126.9508807,37.65419912
"서울특별시 노원구 화랑로 815, 삼육고등학교 (공릉동)",강당 오른쪽 입구,한국삼육고등학교,127.1054208,37.6450008
"서울특별시 서초구 신반포로 194, 강남고속버스터미널 (반포동)",통합매표소 옆,서울고속버스터미널(주),127.0071062,37.50537297
"서울특별시 성동구 청계천로 540, 서울시설공단 (마장동)",1층 동쪽 출입구,서울시설공단청사,127.0360477,37.57161255
"서울특별시 송파구 올림픽로 326, 송파구청 (신천동)",3층 총무과,송파구청,127.1055265,37.51475624
서울특별시 강북구 삼양로173길 120 북한산국립공원 우이분소,관리사무실 안쪽,북한산국립공원 우이분소,127.0065176,37.66092468
"서울특별시 영등포구 여의대방로 439, 여의도초등학교 (여의도동)",본관 2층 교무실 앞,여의도초등학교,126.9367947,37.5232056
서울특별시 강동구 상암로11길 25  (암사동),상인회사무실 마실,암사종합시장,127.1288225,37.55086168
서울특별시 동대문구 고산자로 421 (용두동),2층 간호사실,서울명병원(구급차),127.0379213,37.57738492
"서울특별시 중구 수표로 34, 씨티센터타워 (저동2가)",15층,SK엠앤서비스,126.9903579,37.56437921
"서울특별시 성동구 독서당로 343  (금호동1가, 금호 삼성래미안 아파트)",금호삼성래미안아파트 103동 관리사무소,금호삼성래미안아파트,127.0270363,37.54915302
"서울특별시 마포구 대흥로 175 (대흥동, 신촌그랑자이)",경비실(201동 지하층),신촌그랑자이 아파트,126.9437104,37.55362017
"서울특별시 도봉구 노해로66길 21(창동, 삼성아파트)",108동 경비실,창동삼성아파트,127.0476212,37.64940547
"서울특별시 관악구 신림로3길 35, 관악문화관도서관 (신림동)",관악아트홀 로비,관악문화재단,126.9448715,37.46759771
"서울특별시 마포구 상암산로 82, SBS 프리즘 타워 (상암동)",13층,SBS프리즘타워,126.8927736,37.57971546
"서울특별시 강서구 마곡중앙10로 30, LG사이언스파크 (마곡동)",E6/8동 1층,LG화학마곡,126.8329522,37.56203366
"서울특별시 영등포구 국회대로70길 23, 용산빌딩 (여의도동)",시청자미디어재단 4층,시청자미디어재단,126.9210105,37.52887448
"서울특별시 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)",후문 경비실 내,꿈의숲해링턴플레이스아파트,127.0343067,37.61739219
"서울특별시 강동구 아리수로98길 40, 서울강일고등학교 (강일동)",강일고등학교 미래관 방송실쪽,강일고등학교,127.177584,37.56418359
"서울특별시 마포구 월드컵로5길 11, 합정동주민센터 (합정동)",찾아가는 동주민센터 차량 내부,합정동주민센터,126.9117249,37.55161467
서울특별시 강남구 선릉로 지하 580,선정릉역 지하1층 대합실 개집표기 옆,9호선 선정릉역,127.0436408,37.5108531
"서울특별시 마포구 상암산로 82, SBS 프리즘 타워 (상암동)",5층,SBS프리즘타워,126.8927736,37.57971546
"서울특별시 양천구 신정로 110  (신정동, 신정숲속마을)",정문 경비실 내 설치,신정숲속마을아파트,126.8356554,37.50583017
서울특별시 광진구 광나루로56길 85 테크노마트10층 CGV강변,로비 중앙 티켓판매기 맞은편 기둥 뒷쪽,CGV강변,127.0956915,37.5357246
"서울특별시 서초구 방배중앙로 193, 이수공영주차장빌딩 (방배동)",서초구 이수(방배카페골목)공영주차장,서초구청(주차관리과),126.9853994,37.49627674
"서울특별시 성북구 안암로 99, 우신향병원 (안암동5가)",구급차,우신향병원,127.0309411,37.58461773
"서울특별시 종로구 종로5길 7, Tower 8 24층 (청진동)",24층엘리베이터 앞,CJ대한통운(주)본사,126.9805598,37.57061619
"서울특별시 강남구 도곡로43길 10, 역삼중학교 (역삼동)",목련관 3층 체육실 입구 옆,역삼중학교,127.0493773,37.49544206
서울특별시 광진구 아차산로 552 .,7동78라인,광장극동2차아파트,127.1050188,37.54354928
"서울특별시 구로구 항동로 42 (항동, 한양수자인 에듀힐즈)",관리사무소 입구,항동한양수자인에듀힐즈아파트,126.8255036,37.47829764
"서울특별시 용산구 한강대로 지하180, 4호선 삼각지역 (한강로1가)",고객안전실 앞(B1),4호선 삼각지역,126.9733501,37.53438699
"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",서관 지하 1층(고압산소실 앞),서울아산병원,127.1070973,37.52541192
"서울특별시 영등포구 여의대로 108, 파크원 (여의도동)",17층,에이치엠엠,126.9278607,37.5270601
서울특별시 강동구 상암로3길 77,관리실,삼성광나루아파트,127.1272347,37.55416735
"서울특별시 강남구 역삼로 523, 포르쉐 대치 서비스센터 6층 (대치동)",6층 엘리베이터 앞,스투트가르트스포츠카(주),127.0603861,37.50393829
"서울특별시 성동구 왕십리로 36 (성수동1가, 강변 건영아파트)",관리사무소 내,강변건영아파트,127.0445261,37.54011091
서울특별시 강동구 고덕로25길 17,현관중앙계단,선사고등학교,127.1363487,37.55669702
"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",동관 1층 심장병원 외래,서울아산병원,127.1070973,37.52541192
"서울특별시 강남구 테헤란로 521, 파르나스타워 1층 (삼성동)",1층 로비 입구,그랜드 인터컨티넨탈 호텔 서울 파르나스,127.0608075,37.50919118
서울특별시 마포구 백범로17길 9,본관1층 교무실 앞,서울용강초등학교,126.944044,37.54910148
서울특별시 동대문구 한천로6길 21 (장안동 239-1),본관 1층 중앙현관 앞,군자초등학교,127.0615942,37.56394956
"서울특별시 강동구 아리수로78길 43-12, 고덕2동주민센터 (고덕동)",1층 건강100세 상담센터 옆 벽면,고덕제2동주민센터,127.1643547,37.56050435
"서울특별시 성동구 마장로 207, 서울시립장애인치과병원 (홍익동)",서울특별시장애인치과병원 버스(78라 5468),서울특별시장애인치과병원,127.0328107,37.56671177
"서울특별시 중랑구 면목로 217, 북부운수 (면목동)",면목배차실 게시판밑,북부운수(주),127.0836445,37.57303928
"서울특별시 중랑구 숙선옹주로 91  (묵동, 신내4단지신내아파트)",409동 1층 엘레베이터앞,신내4단지아파트,127.0852648,37.61716948
"서울특별시 종로구 송월길 99  (홍파동, 경희궁자이 2단지)",관리사무소 내,경희궁자이2단지아파트관리사무소,126.9648698,37.5706056
"서울특별시 은평구 역말로 122, (대조1구역 주택재개발 시공사무소) (대조동)",안전교육장,현대건설(대조1구역주택재개발현장),126.9227077,37.60990823
"서울특별시 송파구 오금로 370(가락동, 현대아파트)",현장 주출입구 경비실 전면,(주)포스코건설가락현대5차재건축정비사업현장,127.1302599,37.5000278
"서울특별시 은평구 은평로 195, 은평구 보건소 (녹번동)",보건소 1층 민원실,은평구보건소,126.9298925,37.60264141
서울특별시 도봉구 도봉로173길 96,1층 보건실 문 옆,서울도봉초등학교,127.0382883,37.67996239
"서울특별시 강서구 마곡동로10길 7, 한국도레이R&D센터 (마곡동)",B1 엘레베이터홀,한국도레이R&D센터,126.8378816,37.56973453
서울특별시 동작구 보라매로 77 (신대방동),73너 9994,대한응급환자이송단,126.9274128,37.49629294
"서울특별시 서초구 신반포로 176, 센트럴시티 (반포동)",12층 동쪽 피난대피구역,JW메이어트호텔,127.002794,37.50421378
"서울특별시 노원구 노원로22길 71(중계동, 건영3차아파트)",경비실(정문),중계건영3차아파트,127.0730307,37.64903959
"서울특별시 강서구 마곡서1로 146 (마곡동, 마곡엠밸리2단지)",관리사무실 입구,마곡엠밸리2단지아파트,126.8214132,37.56882891
서울특별시 성동구 자동차시장길 22 용답어린이집,1층 원장실,용답어린이집,127.0563991,37.56118735
"서울특별시 양천구 지양로 106, 중부운수 (신월동)",1층 사무실,중부운수(주),126.8312035,37.52425114
서울특별시 용산구 두텁바위로 160 용산도서관 (후암동),3층 중앙 승강기 벽면,용산도서관,126.9801399,37.55200512
"서울특별시 강남구 언주로 517, KT영동지사 1층 (역삼동)",1층 데스크(대로변 뒤편 주차장측 출입문),KT클라우드강남IDC센터,127.0413082,37.50484463
서울특별시 구로구 중앙로3길 20,1층 중앙현관,고척중학교,126.8613033,37.4996757
